Principle#,Principle Description,Warehouse#,Warehouse Description,Location#,Location Description,Item#,Item Description,Size,OnHand,OnSales,OnHand Base,OnSales Base,Stock Value OnHand,Stock Value OnSales,Tonnage,WAS,SWC,Age of Goods
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP800060,IMP JELLY TINT (2804) ROSY POSY 5ML (1X288),,     4.  11.  0. 0 ,     4.  11.  0. 0 ,"1,163","1,163","15,625,847","15,625,847",0,0.012,97,671
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP800053_,IMP JELLY TINT (2803) TRUE VINTAGE 5ML (1X72),,    13.  48.  0. 0 ,    13.  48.  0. 0 ,984,984,"13,220,857","13,220,857",0,1.040,9,61
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP800046_,IMP JELLY TINT (2802) SAVY RED 5ML (1X72),,     2.  54.  0. 0 ,     2.  54.  0. 0 ,198,198,"2,660,292","2,660,292",0,0.007,28,198
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP800046,IMP JELLY TINT (2802) SAVY RED 5ML (1X288),,     0. 185.  0. 0 ,     0. 185.  0. 0 ,185,185,"2,485,625","2,485,625",0,0.042,4,30
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP800039_,IMP JELLY TINT (2801) MARIPOSA 5ML (1X72),,     0.  13.  0. 0 ,     0.  13.  0. 0 ,13,13,"174,666","174,666",0,0.041,0,2
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP524004,IMP LIP VELVET (2705) EXTROVERT 4.6GR (1X432),,     0.  30.  0. 0 ,     0.  30.  0. 0 ,30,30,"389,311","389,311",0,0.003,10,75
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP401008,IMP LIP VELVET (2704) NAVE 4.6GR (1X432),,     0.  30.  0. 0 ,     0.  30.  0. 0 ,30,30,"389,311","389,311",0,0.002,15,90
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP3800282,IMP X RELAXA LIP CREAM (2323) LEMON 2.9GR (1X216),,     0.   4.  0. 0 ,     0.   4.  0. 0 ,4,4,"61,608","61,608",0,.,0,0
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP3800275,IMP X RELAXA LIP CREAM (2322) CHERRY 2.9GR (1X216),,     0. 147.  0. 0 ,     0. 147.  0. 0 ,147,147,"2,264,098","2,264,098",0,.,0,0
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP120001,IMP LIP VELVET (2703) ATTRACTIVE 4.6GR (1X432),,     0. 366.  0. 0 ,     0. 366.  0. 0 ,366,366,"4,749,593","4,749,593",0,0.013,28,196
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP119299,IMP LIP MOIST (1001) SERUM 2.85ML (1X432),,     4.  52.  0. 0 ,     4.  52.  0. 0 ,"1,780","1,780","19,832,564","19,832,564",0,0.110,16,112
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP1005003,IMP LIP C SATIN (2604) MISERY 3.5GR (1X432),,     0.   1.  0. 0 ,     0.   1.  0. 0 ,1,1,"12,453","12,453",0,0.026,0,0
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP0207001,IMP X RELAXA LIP CREAM (2321) BARLEY & GRAPE 2.9GR (1X144),,     0.  80.  0. 0 ,     0.  80.  0. 0 ,80,80,"2,359,459","2,359,459",0,.,0,0
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP020002,IMP LIP CREAM (2320) RED GALA 2.9GR (1X432),,     1. 342.  0. 0 ,     1. 340.  0. 0 ,774,772,"10,602,229","10,574,833",0,1.149,1,9
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP018009,IMP LIP CREAM (2318) RUBY 2.9GR (1X432),,     0. 359.  0. 0 ,     0. 357.  0. 0 ,359,357,"4,917,571","4,890,175",0,0.234,2,11
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP017002,IMP LIP CREAM (2317) REDWOOD 2.9GR (1X432),,     0. 129.  0. 0 ,     0. 129.  0. 0 ,129,129,"1,767,038","1,767,038",0,0.273,0,3
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP016005,IMP LIP CREAM (2316) DUSTY PEACH 2.9GR (1X432),,     3. 141.  0. 0 ,     3. 141.  0. 0 ,"1,437","1,437","19,683,983","19,683,983",0,0.073,20,137
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP015008,IMP LIP CREAM (2315) SALMON PINK 2.9GR (1X432),,     1. 302.  0. 0 ,     1. 302.  0. 0 ,734,734,"10,054,310","10,054,310",0,0.087,8,58
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP013004,IMP LIP CREAM (2313) HAZELNUDE 2.9GR (1X432),,     6.  35.  0. 0 ,     6.  35.  0. 0 ,"2,627","2,627","35,984,567","35,984,567",0,0.205,13,89
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP012007,IMP LIP CREAM (2312) BROWN SUGAR 2.9GR (1X432),,    30. 356.  0. 0 ,    30. 353.  0. 0 ,"13,316","13,313","182,402,169","182,361,075",0,4.055,7,52
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP011000,IMP LIP CREAM (2311) RED BEAN 2.9GR (1X432),,    11. 370.  0. 0 ,    11. 370.  0. 0 ,"5,122","5,122","70,161,002","70,161,002",0,0.372,14,95
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP009007,IMP LIP CREAM (2309) BUTTERSCOTCH 2.9GR (1X432),,     4.  17.  0. 0 ,     4.  17.  0. 0 ,"1,745","1,745","23,902,958","23,902,958",0,0.126,14,96
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP008000,IMP LIP CREAM (2308) PINK LATTE 2.9GR (1X432),,     0. 204.  0. 0 ,     0. 204.  0. 0 ,204,204,"2,794,386","2,794,386",0,0.094,2,15
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP006006,IMP LIP CREAM (2306) LUMIERE 2.9GR (1X432),,     1.  83.  0. 0 ,     1.  83.  0. 0 ,515,515,"7,054,455","7,054,455",0,0.177,3,20
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP006003_,IMP LIPSTICK INT MAT (2406) TANGERINE CRUSH 3.5GR (1X72),,    31.   4.  0. 0 ,    31.   3.  0. 0 ,"2,236","2,235","30,775,208","30,761,445",0,1.007,28,195
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP006000,IMP CHEEKLIPTINT (2506) PUMPKIN 5.5GR (1X432),,     2. 137.  0. 0 ,     2. 136.  0. 0 ,"1,001","1,000","12,793,190","12,780,410",0,0.107,9,65
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP005009,IMP LIP CREAM (2305) ALLURE 2.9GR (1X432),,     0. 330.  0. 0 ,     0. 330.  0. 0 ,330,330,"4,520,330","4,520,330",0,0.225,1,10
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP005006_,IMP LIPSTICK INT MAT (2405) BERRY ALLURE 3.5GR (1X72),,    20.  26.  0. 0 ,    20.  25.  0. 0 ,"1,466","1,465","20,177,306","20,163,542",0,1.055,12,80
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP005003,IMP CHEEKLIPTINT (2505) CRANBERRY 5.5GR (1X432),,     1.  44.  0. 0 ,     1.  43.  0. 0 ,476,475,"6,083,475","6,070,695",0,0.149,3,22
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP004009_,IMP LIPSTICK INT MAT (2404) DIRTY PEACH 3.5GR (1X72),,     8.  66.  0. 0 ,     8.  66.  0. 0 ,642,642,"8,836,173","8,836,173",0,1.065,5,33
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP004006,IMP CHEEKLIPTINT (2504) RED WINE 5.5GR (1X432),,     0. 347.  0. 0 ,     0. 346.  0. 0 ,347,346,"4,434,802","4,422,022",0,0.112,3,21
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP004002,IMP LIP CREAM (2304) MEDELINE 2.9GR (1X432),,     1. 274.  0. 0 ,     1. 274.  0. 0 ,706,706,"9,670,767","9,670,767",0,0.223,3,22
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP003009,IMP CHEEKLIPTINT (2503) CANDY APPLE 5.5GR (1X432),,     3.  69.  0. 0 ,     3.  68.  0. 0 ,"1,365","1,364","17,445,260","17,432,479",0,0.114,12,83
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP003005,IMP LIP CREAM (2303) DARK BERRY 2.9GR (1X432),,     2. 340.  0. 0 ,     2. 338.  0. 0 ,"1,204","1,202","16,492,356","16,464,960",0,1.428,1,10
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP003002_,IMP LIPSTICK INT MAT (2403) SHEER PLUM 3.5GR (1X72),,    20.  17.  0. 0 ,    20.  16.  0. 0 ,"1,457","1,456","20,053,434","20,039,671",0,1.043,13,87
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP002008,IMP LIP CREAM (2302) TERRACOTTA 2.9GR (1X432),,    40. 357.  0. 0 ,    40. 355.  0. 0 ,"17,637","17,635","241,591,097","241,563,701",0,1.380,22,150
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP002005_,IMP LIPSTICK INT MAT (2402) MAPLE MOCHA 3.5GR (1X72),,    33.  56.  0. 0 ,    33.  56.  0. 0 ,"2,432","2,432","33,472,856","33,472,856",0,2.026,14,99
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP002002,IMP CHEEKLIPTINT (2502) CHERRY BOMB 5.5GR (1X432),,     3. 177.  0. 0 ,     3. 176.  0. 0 ,"1,473","1,472","18,825,544","18,812,764",0,0.173,9,59
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP001104,IMP D2D SR KC LIP BLT (05) AT NIGHT 1.5GR (1X288),,     0. 123.  0. 0 ,     0. 123.  0. 0 ,123,123,"1,652,605","1,652,605",0,0.016,8,54
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP001081,IMP D2D SR KC LIP BLT (03) EXTRAODINARY 1.5GR (1X288),,     2. 102.  0. 0 ,     2. 102.  0. 0 ,678,678,"9,109,479","9,109,479",0,0.014,48,333
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP001074,IMP D2D SR KC LIP BLT (02) HABITUAL 1.5GR (1X288),,     1.   2.  0. 0 ,     1.   2.  0. 0 ,290,290,"3,896,385","3,896,385",0,0.016,18,126
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP001067,IMP D2D SR KC LIP BLT (01) INTENTION 1.5GR (1X288),,     0.   2.  0. 0 ,     0.   2.  0. 0 ,2,2,"26,872","26,872",0,0.018,0,1
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP001008_,IMP LIPSTICK INT MAT (2401) CHERRY CRUSH 3.5GR (1X72),,    15.   6.  0. 0 ,    15.   6.  0. 0 ,"1,086","1,086","14,947,172","14,947,172",0,1.037,10,69
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP001005,IMP CHEEKLIPTINT (2501) VAMPIRE BLOOD 5.5GR (1X432),,     3.  20.  0. 0 ,     3.  20.  0. 0 ,"1,316","1,316","16,819,020","16,819,020",0,0.178,7,51
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,LIP001001,IMP LIP CREAM (2301) DUSKY NUDE 2.9GR (1X432),,     6. 142.  0. 0 ,     6. 142.  0. 0 ,"2,734","2,734","37,450,250","37,450,250",0,1.380,3,23
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,HAI402008,IMP HC SHAMPOO (1003) 30ML DARK BROWN (1X288),,     1. 216.  0. 0 ,     1. 216.  0. 0 ,504,504,"2,477,432","2,477,432",0,0.059,9,59
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,HAI218008,IMP HC SHAMPOO 30ML BROWN (1X288),,     1. 144.  0. 0 ,     1. 144.  0. 0 ,432,432,"2,123,513","2,123,513",0,0.064,7,47
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,HAI212009,IMP HC SHAMPOO (1001) 30ML BLACK (1X288),,     2. 144.  0. 0 ,     2. 144.  0. 0 ,720,720,"3,539,189","3,539,189",0,0.078,9,64
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,HAI015001,IMP HC (1014) TOSCA 2X30ML+10ML (1X144),,     2.  35.  0. 0 ,     2.  35.  0. 0 ,323,323,"2,328,656","2,328,656",0,0.014,23,156
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,HAI014007,IMP HC (1013) ROYAL BLUE 2X30ML+10ML (1X144),,    10.  53.  0. 0 ,    10.  53.  0. 0 ,"1,493","1,493","10,763,724","10,763,724",0,0.040,37,256
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,HAI007000,IMP HC (1007) RED VELVET 2X30ML+10ML (1X144),,     0. 137.  0. 0 ,     0. 131.  0. 0 ,137,131,"987,696","944,439",0,0.129,1,7
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,HAI006006,IMP HC (1006) BURGUNDY 2X30ML+10ML (1X144),,     6.  92.  0. 0 ,     6.  86.  0. 0 ,956,950,"6,892,244","6,848,987",0,0.131,7,51
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,HAI004008,IMP HC (1004) COFFEE 2X30ML+10ML (1X144),,     1. 140.  0. 0 ,     1. 137.  0. 0 ,284,281,"2,047,487","2,025,858",0,0.030,9,65
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,HAI003004,IMP HC (1003) DARK BROWN 2X30ML+10ML (1X144),,     0.  73.  0. 0 ,     0.  70.  0. 0 ,73,70,"526,291","504,662",0,0.077,1,7
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,HAI001006,IMP HC (1001) BLEACHING 30GR+30ML (1X144),,    23.  48.  0. 0 ,    23.  39.  0. 0 ,"3,360","3,351","24,223,786","24,158,900",0,1.098,14,96
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC825009,IMP SERUM (1051) HYDRATING 20ML (1X72),,     0.   1.  0. 0 ,     0.   1.  0. 0 ,1,1,"19,007","19,007",0,.,0,0
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC802293,IMP SUNSCREEN (4050) PERFECT SHIELD SPF50 25ML (1X48),,    74.  27.  0. 0 ,    74.  25.  0. 0 ,"3,579","3,577","60,988,093","60,954,012",0,2.028,29,200
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC802217,IMP COMPACT PF (03) ROSE 3IN1 23GR (1X144),,     0.  90.  0. 0 ,     0.  90.  0. 0 ,90,90,"1,887,567","1,887,567",0,0.050,2,13
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC802125,IMP SKIN BARRIER MOISTURIZING GEL 30ML (1X96),,     5.   0.  0. 0 ,     5.   0.  0. 0 ,480,480,"7,235,674","7,235,674",0,0.072,7,46
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC801456,IMP SUNSCREEN SPF 30 PA +++ 50ML (1X72),,     8.  30.  0. 0 ,     8.  30.  0. 0 ,606,606,"11,120,918","11,120,918",0,1.038,6,38
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC801401,IMP CNSG FC  BD BAR GREEN TEA 60GR (1X144),,     0.  56.  0. 0 ,     0.  56.  0. 0 ,56,56,"466,124","466,124",0,0.012,5,34
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC801395,IMP HG CUSHION REF (06) DARK BEIGE 13GR (1X144),,     0. 140.  0. 0 ,     0. 140.  0. 0 ,140,140,"3,991,418","3,991,418",0,0.002,70,420
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC801388,IMP HG CUSHION REF (05) WARM BEIGE 13GR (1X144),,     0. 131.  0. 0 ,     0. 131.  0. 0 ,131,131,"3,734,827","3,734,827",0,0.001,131,983
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC801371,IMP HG CUSHION REF (04) MEDBEIGE 13GR (1X144),,     0.   3.  0. 0 ,     0.   3.  0. 0 ,3,3,"85,530","85,530",0,0.007,0,3
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC801357,IMP HG CUSHION REF (02) LIGHT BEIGE 13GR (1X144),,     0.   1.  0. 0 ,,1,0,"28,510",0,0,0.000,0,0
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC801333,IMP HG CUSHION (06) DARK BEIGE 13GR (1X96),,     2.   8.  0. 0 ,     2.   8.  0. 0 ,200,200,"9,962,162","9,962,162",0,0.000,0,6000
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC801326,IMP HG CUSHION (05) WARM BEIGE 13GR (1X96),,     1.  63.  0. 0 ,     1.  63.  0. 0 ,159,159,"7,919,919","7,919,919",0,0.000,0,2385
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC801319,IMP HG CUSHION (04) MEDIUM BEIGE 13GR (1X96),,     1.  19.  0. 0 ,     1.  19.  0. 0 ,115,115,"5,728,243","5,728,243",0,0.003,38,230
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC801302,IMP HG CUSHION (03) LINEN 13GR (1X96),,     2.  68.  0. 0 ,     2.  68.  0. 0 ,260,260,"12,950,811","12,950,811",0,0.009,29,195
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC801296,IMP HG CUSHION (02) LIGHT BEIGE 13GR (1X96),,     2.  29.  0. 0 ,     2.  29.  0. 0 ,221,221,"11,008,189","11,008,189",0,0.005,44,288
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC801289,IMP HG CUSHION (01) IVORY 13GR 13GR (1X96),,     2.  26.  0. 0 ,     2.  26.  0. 0 ,218,218,"10,858,757","10,858,757",0,0.013,17,119
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC801272,IMP CNSG FC  BD BAR SHEA BTTR 60GR (1X144),,     0.  46.  0. 0 ,     0.  46.  0. 0 ,46,46,"382,888","382,888",0,0.002,23,197
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC801265,IMP CNSG FC  BD BAR ROSE 60GR (1X144),,     0.  32.  0. 0 ,     0.  32.  0. 0 ,32,32,"266,357","266,357",0,0.001,32,240
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC801258,IMP CNSG FC  BD BAR POWDERY 60GR (1X144),,     0.  48.  0. 0 ,     0.  48.  0. 0 ,48,48,"399,535","399,535",0,0.002,24,144
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC801241,IMP CNSG FC  BD BAR GOAT MILK 60GR (1X144),,     0.  30.  0. 0 ,     0.  30.  0. 0 ,30,30,"249,710","249,710",0,0.005,6,41
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC801234,IMP CNSG FC  BD BAR CITRUS 60GR (1X144),,     0.  65.  0. 0 ,     0.  65.  0. 0 ,65,65,"541,037","541,037",0,0.002,33,217
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC801227,IMP CNSG FC  BD BAR CHARCOAL 60GR (1X144),,     0.  66.  0. 0 ,     0.  66.  0. 0 ,66,66,"549,361","549,361",0,0.011,6,43
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC801210,IMP CNSG FC  BD BAR CHAMOMILE 60GR (1X144),,     0.  69.  0. 0 ,     0.  69.  0. 0 ,69,69,"574,332","574,332",0,0.002,35,207
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC801159,IMP ESS SHEET MASK ACNE CONTROL 25GR (1X576),,    16. 410.  0. 0 ,    16. 409.  0. 0 ,"9,626","9,625","20,819,498","20,817,335",0,0.450,21,148
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC801142,IMP ESS SHEET MASK MOISTURIZING 25GR (1X576),,    23. 104.  0. 0 ,    23. 103.  0. 0 ,"13,352","13,351","28,878,240","28,876,077",0,0.357,37,259
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC801135,IMP ESS SHEET MASK BRIGHTENING 25GR (1X576),,    25. 352.  0. 0 ,    25. 351.  0. 0 ,"14,752","14,751","31,906,216","31,904,053",0,0.463,32,221
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC801036,IMP EVEN BETTER LF (06) DARK BEIGE 25GR (1X144),,     1. 105.  0. 0 ,     1. 105.  0. 0 ,249,249,"3,263,919","3,263,919",0,0.003,83,623
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC801029,IMP EVEN BETTER LF (05) WARM OLIVE 25GR (1X144),,     1.  15.  0. 0 ,     1.  15.  0. 0 ,159,159,"2,084,189","2,084,189",0,0.009,18,122
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC801005,IMP EVEN BETTER LF (03) LINEN 25GR (1X144),,     0. 125.  0. 0 ,     0. 125.  0. 0 ,125,125,"1,638,514","1,638,514",0,0.048,3,18
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC800985,IMP EVEN BETTER LF (01) IVORY 25GR (1X144),,     0.  37.  0. 0 ,     0.  37.  0. 0 ,37,37,"485,000","485,000",0,0.081,0,3
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC800732,IMP D2D SR TWC (06) NUTMEG 10GR (1X144),,     1.  61.  0. 0 ,     1.  61.  0. 0 ,205,205,"5,777,398","5,777,398",0,0.001,205,2050
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC800725,IMP D2D SR TWC (05) TOFFEE 10GR (1X144),,     0. 106.  0. 0 ,     0. 106.  0. 0 ,106,106,"2,987,338","2,987,338",0,0.001,106,530
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC800718,IMP D2D SR TWC (04) HONEY 10GR (1X144),,     1.  36.  0. 0 ,     1.  36.  0. 0 ,180,180,"5,072,837","5,072,837",0,0.008,23,159
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC800701,IMP D2D SR TWC (03) CASHEW 10GR (1X144),,     1.  63.  0. 0 ,     1.  63.  0. 0 ,207,207,"5,833,763","5,833,763",0,0.017,12,83
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC800695,IMP D2D SR TWC (02) BUTTER 10GR (1X144),,     1.  20.  0. 0 ,     1.  20.  0. 0 ,164,164,"4,621,919","4,621,919",0,0.021,8,53
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC800688,IMP D2D SR TWC REF (06) NUTMEG 10GR (1X288),,     3.  23.  0. 0 ,     3.  23.  0. 0 ,887,887,"16,568,326","16,568,326",0,.,0,0
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC800671,IMP D2D SR TWC REF (05) TOFFEE 10GR (1X288),,     2. 167.  0. 0 ,     2. 167.  0. 0 ,743,743,"13,878,542","13,878,542",0,0.000,0,11145
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC800664,IMP D2D SR TWC REF (04) HONEY 10GR (1X288),,     0.  76.  0. 0 ,     0.  76.  0. 0 ,76,76,"1,419,609","1,419,609",0,0.008,10,69
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC800657,IMP D2D SR TWC REF (03) CASHEW 10GR (1X288),,     1. 166.  0. 0 ,     1. 166.  0. 0 ,454,454,"8,480,293","8,480,293",0,0.009,50,349
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC800640,IMP D2D SR TWC REF (02) BUTTER 10GR (1X288),,     2.  71.  0. 0 ,     2.  71.  0. 0 ,647,647,"12,085,352","12,085,352",0,0.014,46,318
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC800633,IMP D2D SR TWC REF (01) PORCELAIN 10GR (1X288),,     0. 204.  0. 0 ,     0. 204.  0. 0 ,204,204,"3,810,528","3,810,528",0,0.012,17,118
136,PT. IMPLORA SUKSES ABADI,201001,GUDANG UTAMA,201R01,RAK UTAMA,FAC800626,IMP D2D SR TWC (01) PORCELAIN 10GR (1X144),,     1.  17.  0. 0 ,     1.  17.  0. 0 ,161,161,"4,537,371","4,537,371",0,0.021,8,53
